Directory	Run	LogLikelihood	ModelParameters	ModelValues	Theta
output_proj_het_group1-group3_process8_02-7-25	Run 4	-7679.26	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.01, 200.0, 0.79384, 1.91318, 200.0, 0.29977, 1.07897, 0.79779, 14.11139, 15.30524, 4.41152, 1.51908, 0.00228, 0.5231)	8620.673536968128
output_proj_het_group1-group3_process8_02-7-25	Run 6	-7752.93	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.01, 200.0, 1.13494, 2.15823, 200.0, 0.19107, 0.72272, 0.99132, 16.79748, 19.2516, 1.73534, 0.585, 0.00323, 0.4405)	6696.132283148625
output_proj_het_group2-Amil_process3_02-7-25	Run 8	-8122.70	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(1.26455, 11.16414, 1.60235, 16.32062, 9.37305, 4.62617, 10.0, 0.02741, 22.24512, 8.33255, 4.80076, 7.06432, 0.79403, 0.6231)	12174.527682775977
output_proj_het_group2-Amil_process3_02-7-25	Run 2	-9196.53	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.58053, 200.0, 0.97061, 9.75516, 4.78116, 1.15e-17, 7.1982, 0.02568, 13.09793, 7.78869, 4.70373, 5.23203, 0.61867, 0.62365)	21505.0835491671
output_proj_het_group2-Amil_process3_02-7-25	Run 7	-12340.27	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.1049, 200.0, 0.43789, 1.001, 200.0, 0.43197, 0.78923, 0.77884, 9.79278, 4.65449, 3.47705, 7.255, 0.06143, 0.65298)	21605.692331503622
output_proj_het_group2-Amil_process3_02-7-25	Run 3	-13403.64	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.55032, 95.33753, 0.94228, 10.08428, 4.78392, 0.30347, 1.21498, 0.00e+00, 0.10551, 4.73949, 0.40861, 0.00e+00, 0.38583, 0.14814)	20300.966101717146
output_proj_het_group2-Amil_process3_02-7-25	Run 6	-14392.54	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(27.2546, 200.0, 1.02216, 0.04245, 200.0, 4.82796, 2.47395, 1.21671, 9.8112, 5.46729, 0.57886, 1.65795, 0.00e+00, 0.52483)	19529.71364347971
output_proj_het_group2-Amil_process6_02-7-25	Run 2	-8065.55	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.83291, 200.0, 1.20538, 12.94179, 5.37058, 0.01481, 0.001, 0.27866, 16.04248, 8.14522, 0.47587, 3.2128, 0.00012, 0.50784)	14616.65056252524
output_proj_het_group2-Amil_process6_02-7-25	Run 1	-8566.65	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.73275, 200.0, 1.11311, 11.70689, 5.5158, 2.85e-18, 10.0, 0.0142, 11.68741, 54.98008, 9.23754, 10.0, 0.67593, 0.64356)	18566.805812891715
output_proj_het_group2-Amil_process6_02-7-25	Run 6	-11896.50	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.16809, 200.0, 0.42268, 1.0, 12.35801, 0.12035, 0.33481, 0.67441, 8.8938, 3.86581, 0.34768, 1.98563, 0.00e+00, 0.41775)	24780.192515828177
output_proj_het_group1-Amil_process6_02-7-25	Run 8	-7475.23	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.26673, 200.0, 0.55097, 5.26592, 3.91428, 0.02552, 0.17294, 0.11488, 9.65212, 3.58965, 0.85579, 8.71861, 0.26576, 0.55326)	26962.178571542634
output_proj_het_group1-Amil_process6_02-7-25	Run 5	-7924.68	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.27878, 200.0, 0.54695, 5.22785, 4.29074, 0.001, 0.24069, 0.14535, 9.46624, 3.59239, 0.68176, 5.92272, 0.42762, 0.51376)	26256.52250351504
output_proj_het_group1-Amil_process6_02-7-25	Run 4	-8764.20	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.34225, 19.84722, 0.75003, 6.96992, 4.88795, 0.001, 1.15156, 0.01662, 159.72788, 2.68543, 9.33653, 10.0, 0.4206, 0.65482)	23608.381829005957
output_proj_het_group1-group4_process6_02-7-25	Run 2	-6890.06	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.84775, 199.92653, 1.31026, 15.29068, 21.014, 0.07646, 0.09176, 0.25133, 23.20218, 18.75942, 0.78098, 3.76844, 0.20062, 0.36538)	7565.110867808497
output_proj_het_group1-group4_process6_02-7-25	Run 1	-6974.24	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(1.0, 153.27375, 1.06258, 11.04506, 19.87944, 1.84874, 0.00e+00, 0.04078, 200.0, 39.7768, 4.15524, 6.03768, 0.63937, 0.40195)	8479.36288835846
output_proj_het_group1-group4_process6_02-7-25	Run 6	-7185.23	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(1.0, 16.82004, 1.48091, 14.74286, 52.84491, 0.83, 0.00e+00, 0.04118, 46.64682, 4.53326, 3.96063, 7.3427, 0.54622, 0.35626)	6607.868749492858
output_proj_het_group1-group4_process6_02-7-25	Run 4	-7384.78	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.28117, 200.0, 0.64603, 7.39165, 11.7541, 0.00e+00, 2.61655, 0.02486, 4.70019, 4.48084, 10.0, 1.70295, 0.17574, 0.33599)	17807.058761834753
output_proj_het_group1-group4_process6_02-7-25	Run 8	-7759.31	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.15882, 200.0, 0.98184, 2.98186, 200.0, 0.21117, 0.91524, 0.49974, 12.99849, 14.96581, 5.42976, 0.41011, 0.03489, 0.57158)	9287.98176740023
output_proj_het_group2-group3_process5_02-7-25	Run 1	-4934.81	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(8.86171, 9.59273, 1.6404, 25.75246, 28.80748, 7.0058, 6.21241, 0.02451, 11.04799, 7.54458, 7.58805, 8.08784, 0.65006, 0.29448)	5830.778280391534
output_proj_het_group2-group3_process5_02-7-25	Run 2	-4981.07	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(9.24997, 9.70792, 1.57667, 23.34415, 26.96646, 6.48254, 5.67257, 0.0186, 14.67033, 7.77236, 9.88864, 10.0, 0.64822, 0.29955)	6052.2022144075545
output_proj_het_group2-group3_process5_02-7-25	Run 6	-8448.45	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.02028, 200.0, 0.44844, 1.0, 0.85125, 2.31972, 6.56339, 1.73112, 14.89447, 14.98015, 2.11291, 2.26185, 0.00e+00, 0.34998)	9151.05647499021
output_proj_het_group2-group3_process5_02-7-25	Run 4	-8499.32	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.01, 0.01, 0.44895, 0.30225, 1.0, 10.0, 1.06648, 1.00266, 8.63135, 8.94051, 3.00846, 2.92992, 0.00e+00, 0.31964)	15559.704911905774
output_proj_het_group2-group3_process5_02-7-25	Run 7	-8591.43	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(1.0, 122.50046, 1.75825, 28.65401, 10.18601, 0.001, 2.00593, 0.03784, 3.67982, 200.0, 6.06735, 4.10238, 0.25649, 0.32817)	8215.711849869576
output_proj_het_group2-group4_process5_02-7-25	Run 4	-5023.27	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(7.41066, 11.59996, 2.43386, 30.78675, 68.39815, 10.0, 4.09726, 0.06304, 11.75913, 9.26521, 3.03039, 2.26068, 0.61397, 0.39178)	4542.716578607102
output_proj_het_group2-group4_process5_02-7-25	Run 7	-5285.61	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(5.11196, 17.79641, 1.55561, 24.34107, 27.08869, 6.08147, 4.68341, 0.01562, 5.3878, 153.59708, 10.0, 8.42691, 0.64274, 0.42891)	6701.959075158135
output_proj_het_group2-group4_process5_02-7-25	Run 3	-6105.36	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(4.77657, 6.1932, 1.98564, 41.13084, 200.0, 0.08228, 0.06203, 0.94444, 24.03316, 30.66615, 6.56857, 2.45497, 0.04816, 0.53623)	4618.861016245531
